2ndFlrSF,GarageArea,KitchenQual,TotalBsmtSF,YearBuilt,YearRemodAdd
0.0,774,Gd,1822,2007,2007
0.0,308,TA,894,1962,1962
0.0,432,TA,876,1921,2006
0.0,857,Gd,1568,2002,2002
0.0,843,Gd,1541,2001,2002
0.0,400,Gd,1221,2004,2005
0.0,440,TA,1088,1965,1965
720.0,484,Gd,696,1999,1999
462.0,297,TA,462,1973,1973
349.0,440,TA,735,1941,1950
896.0,397,Gd,746,2003,2004
0.0,460,Gd,1362,2005,2006
788.0,442,TA,756,1966,1966
0.0,451,TA,1367,1954,1954
,528,Gd,924,1948,2005
0.0,588,Gd,1360,1978,1978
728.0,400,Gd,728,2007,2007
0.0,497,Gd,1188,1990,1991
0.0,625,TA,0,1950,1950
612.0,528,Gd,612,2009,2009
752.0,468,TA,952,1931,1950
406.0,384,TA,861,1900,1950
557.0,297,Gd,803,1938,1995
0.0,420,Gd,848,2004,2004
780.0,749,Gd,1482,2003,2003
0.0,396,TA,836,1951,1951
0.0,398,Gd,1375,2004,2004
924.0,396,TA,735,1917,1950
110.0,0,TA,901,1920,1998
0.0,499,Ex,1501,2000,2000
0.0,308,TA,1012,1920,1950
998.0,672,TA,824,1920,1970
,672,Gd,360,1900,1996
872.0,650,Gd,1057,2001,2001
0.0,576,TA,911,1976,1976
0.0,765,Ex,1838,2006,2006
0.0,924,Gd,1296,1954,2006
0.0,672,TA,1148,1959,1959
0.0,280,TA,950,1971,1971
846.0,471,Gd,777,1993,1994
720.0,440,TA,1065,1923,1950
0.0,440,Gd,1316,2007,2007
0.0,615,TA,1442,1970,1970
0.0,500,TA,1078,1971,2008
0.0,544,Fa,1040,1961,1961
640.0,527,Gd,408,2002,2002
682.0,240,TA,651,1946,1992
0.0,280,TA,1056,1954,1954
0.0,874,Ex,1792,2003,2004
,402,TA,1216,1998,1998
764.0,576,Gd,596,1920,1950
1112.0,434,Gd,847,2004,2005
,546,TA,1208,1977,1977
650.0,315,TA,874,1958,1958
358.0,240,Gd,796,1922,2007
0.0,420,TA,0,1950,1950
0.0,273,TA,190,1938,1996
0.0,600,TA,943,1979,1979
902.0,603,Gd,866,2005,2005
1177.0,779,Gd,1393,1999,1999
0.0,275,TA,912,1958,1958
0.0,308,TA,0,1956,1956
0.0,511,Gd,1405,1998,1999
0.0,850,Ex,2076,2006,2006
1203.0,752,Gd,1318,1995,1995
787.0,240,Gd,731,1937,1950
0.0,538,Gd,1573,2006,2007
700.0,389,Gd,1444,1958,2006
,880,Gd,1237,1893,2000
728.0,477,TA,585,1984,2003
0.0,541,Gd,1525,2000,2000
0.0,722,Gd,1571,2007,2007
0.0,0,TA,796,1910,1950
994.0,432,TA,994,1892,1965
670.0,402,Gd,384,1991,1992
0.0,364,TA,648,1965,2001
1104.0,372,TA,732,2005,2005
0.0,484,Gd,1040,1974,1999
574.0,694,Ex,2153,2006,2006
455.0,200,TA,676,1941,1950
1000.0,400,TA,960,1952,1952
0.0,336,TA,1144,1963,1963
0.0,576,TA,1056,1980,1980
0.0,0,Fa,693,1941,1950
0.0,576,Gd,1479,1997,1997
0.0,482,Gd,1594,2004,2005
0.0,352,TA,864,1972,1972
0.0,750,Gd,1566,2008,2008
660.0,497,TA,723,1972,1972
0.0,539,TA,780,1925,1950
574.0,180,TA,939,1920,2004
408.0,560,TA,884,1931,1950
0.0,386,TA,955,1966,1966
0.0,210,TA,1007,1922,1950
0.0,572,TA,1056,1955,1955
797.0,615,Gd,756,2005,2006
0.0,865,Gd,1614,2005,2006
0.0,1390,Ex,2042,2008,2009
0.0,326,TA,1073,1921,1968
213.0,240,TA,672,1948,2001
0.0,550,TA,1205,1970,1970
0.0,0,TA,528,1920,2002
0.0,300,TA,1150,1959,1959
728.0,400,Gd,728,2005,2005
0.0,588,Ex,944,1961,2007
750.0,564,Gd,750,2005,2006
0.0,375,TA,1165,1953,1953
729.0,398,TA,839,2004,2004
1054.0,836,Ex,1104,2008,2008
0.0,573,Gd,1560,2003,2003
,312,Gd,728,1942,1995
0.0,286,Gd,630,1970,2002
0.0,504,TA,1143,1976,1976
1101.0,947,Gd,1063,2006,2006
550.0,384,TA,560,1910,2000
1426.0,550,Ex,1184,2007,2007
932.0,936,Gd,1026,2005,2005
0.0,898,Gd,1468,2008,2009
432.0,539,Gd,0,1977,1977
432.0,240,TA,768,1946,1995
438.0,438,Gd,1092,2006,2007
795.0,440,TA,795,1912,1950
0.0,240,TA,1064,1936,1950
0.0,624,TA,864,1958,1958
0.0,440,Gd,1208,1984,1998
504.0,264,Gd,483,1972,2007
1281.0,628,Gd,1210,1989,1990
600.0,440,TA,765,1970,1970
1141.0,779,Gd,1128,2002,2002
1347.0,840,Gd,1249,2006,2006
0.0,352,TA,907,1957,1957
,440,TA,855,1976,1976
0.0,540,TA,1106,1962,1962
0.0,684,TA,858,1971,1971
0.0,516,TA,2223,1973,1973
0.0,672,Fa,1005,1955,1955
809.0,409,Gd,712,1994,1996
0.0,384,TA,1040,1965,1965
0.0,461,TA,1268,1960,1960
887.0,578,Gd,874,2007,2007
0.0,888,TA,1012,1976,1976
0.0,439,TA,1385,1954,2005
0.0,480,TA,1436,1956,1956
0.0,839,Gd,2109,1995,1995
0.0,544,Gd,1573,2002,2002
0.0,820,Ex,2330,2009,2010
977.0,645,Gd,1057,1997,1998
0.0,431,Gd,1291,1996,1997
0.0,0,TA,858,1958,2008
560.0,280,TA,560,1939,1950
0.0,246,Fa,290,1920,1950
728.0,440,TA,672,1978,1978
0.0,240,Fa,920,1938,1950
0.0,645,TA,1127,1964,1964
0.0,525,TA,547,2005,2005
0.0,0,TA,0,1965,1965
689.0,441,Gd,844,1916,1994
1254.0,380,TA,965,1934,1998
912.0,0,TA,912,1971,1971
868.0,422,TA,872,1996,1997
0.0,576,Gd,912,1965,2008
0.0,600,Gd,1461,1988,1989
448.0,216,Gd,976,1925,1990
0.0,397,Gd,1316,2005,2006
0.0,450,TA,768,1925,1950
378.0,240,TA,756,1940,1950
0.0,865,Gd,1623,2006,2006
660.0,400,Gd,660,2003,2003
966.0,538,TA,1013,1967,1967
0.0,525,TA,1120,1963,1963
0.0,756,TA,992,1957,2000
546.0,0,TA,546,1970,2008
978.0,704,TA,718,1890,1998
0.0,576,Gd,845,1949,2003
1039.0,668,Gd,894,2007,2007
546.0,264,TA,672,1973,1973
808.0,534,TA,808,1977,1977
870.0,556,Gd,1220,1995,1996
0.0,487,TA,1484,1971,1971
0.0,506,TA,1656,1973,1973
406.0,210,TA,818,1926,2004
1032.0,390,Gd,992,2000,2000
0.0,576,TA,832,1929,2001
546.0,286,TA,546,1973,1973
0.0,252,Gd,1268,1977,1989
834.0,550,Gd,799,1996,1996
0.0,502,Gd,1657,2003,2003
0.0,508,Gd,1478,1997,1998
0.0,306,Gd,932,1950,1950
0.0,526,TA,1277,1970,1970
0.0,630,Gd,1530,2004,2004
0.0,484,TA,1024,1958,1983
0.0,528,TA,840,1982,1982
0.0,626,Gd,1314,2007,2008
571.0,868,Gd,1391,2006,2006
702.0,388,Gd,788,2004,2005
0.0,420,Gd,848,2004,2004
0.0,240,TA,672,1940,1997
1152.0,252,Gd,1152,1941,2006
704.0,180,TA,660,1916,1987
754.0,484,Gd,725,1972,2004
0.0,740,Gd,1226,2009,2009
1111.0,444,Gd,832,1966,2007
0.0,576,Gd,1158,2004,2004
0.0,480,TA,1154,1966,1966
844.0,527,Gd,880,1998,1999
885.0,431,TA,773,1995,1996
0.0,520,Gd,0,1949,2003
521.0,300,TA,816,1955,1955
1479.0,1014,Gd,728,1935,1997
504.0,264,TA,483,1973,1973
547.0,0,TA,644,1940,1999
